,minute,symbol,ofi_0_h_i_t,ofi_1_h_i_t,ofi_2_h_i_t,ofi_3_h_i_t,ofi_4_h_i_t,ofi_5_h_i_t,ofi_6_h_i_t,ofi_7_h_i_t,ofi_8_h_i_t,ofi_9_h_i_t
44,2024-10-21 12:38,AAPL,-1069.7723998847596,-80.92768654566409,-848.6718524920773,748.8101411696919,-67.18524920772113,-139.25669835782196,-531.0688562373956,356.6925957937194,-21.68251224431,-563.1345433592625
45,2024-10-21 12:39,AAPL,-111.63238654913481,-173.7740777015997,64.46947437153116,193.50963108063985,-122.76526281423439,66.08880182827292,-35.726412014364996,33.7022526934378,0.30362389813907925,-8.50146914789422
46,2024-10-21 12:40,AAPL,-527.4142940151075,340.97617664148754,-112.35909355026149,467.33585124927373,182.7164439279489,-39.875072632190594,244.74433468913426,-12.051133062173157,42.35618826263801,94.81406159209763
47,2024-10-21 12:41,AAPL,-643.5213204951857,-300.54470426409904,-256.1760660247593,163.38927097661622,96.48418156808803,11.972489683631363,273.60660247592847,215.5048143053645,-129.76066024759285,4.049518569463549
48,2024-10-21 12:42,AAPL,-2.7756653992395437,-494.62357414448667,660.0532319391635,17.579214195183777,613.6070975918884,165.61470215462612,428.37769328263624,-260.5424588086185,231.12040557667933,72.35234474017744
49,2024-10-21 12:43,AAPL,-32.4289597232518,-501.7247343711392,219.10551025450957,-126.18729923400052,509.2858907832964,473.66444279713374,80.14825796886585,-32.26093402520386,285.97973807758837,0.0
50,2024-10-21 12:44,AAPL,-552.2834645669292,154.48818897637796,-334.96062992125985,223.93700787401576,275.90551181102364,44.25196850393701,-114.96062992125985,218.58267716535434,-141.5748031496063,-134.1732283464567
51,2024-10-21 12:45,AAPL,-51.06530089628681,-628.3252240717028,323.63124199743913,323.76184379001273,139.48271446862995,174.61459667093467,435.4263764404609,-185.45454545454544,-16.97823303457106,-53.41613316261203
52,2024-10-21 12:46,AAPL,13.731036256106966,-29.69915145281563,-30.856261249678578,-19.208022627924915,143.79017742350217,-36.333247621496525,-42.04165595268706,-12.111082540498842,14.116739521727949,-103.13705322705064
53,2024-10-21 12:47,AAPL,-259.4257467395877,-191.30837189734956,-33.89145982330668,400.67732435843493,-229.43626419856957,146.9373159444678,388.30248212031967,-76.47875473285653,-25.195624737063522,43.14472023559107
54,2024-10-21 12:48,AAPL,-166.60137120470125,-803.7708129285014,952.0078354554357,-14.397649363369244,217.87463271302641,159.84329089128303,-263.85896180215474,-235.7982370225269,-178.35455435847206,343.63369245837407
55,2024-10-21 12:49,AAPL,-51.955622414441514,-1088.1910492666414,563.8962015795411,344.5656261752538,-612.4670928920646,1329.0146671681082,732.9635201203458,231.00789770590444,426.9838285069574,230.50018804061673
56,2024-10-21 12:50,AAPL,-2.1960146400976006,-431.18747458316386,-800.8865392435949,819.1134607564051,-845.0264335095567,740.7157381049207,259.2395282635218,-115.18096787311916,145.92517283448555,-74.44489629930867
57,2024-10-21 12:51,AAPL,-54.172970762625226,-186.98834594152524,-959.8037211204253,1773.8376610100183,-1347.3890819873236,1156.0826006951543,750.0470251482315,-242.60069515436516,329.6176650991617,-170.7626252300143
58,2024-10-21 12:52,AAPL,-20.170842824601365,27.7714502657555,-510.1176917236142,155.5201214882308,-607.463933181473,440.250569476082,506.46355353075165,-71.9134396355353,314.9867122247532,86.96848899012907
59,2024-10-21 12:53,AAPL,-45.302081228531016,-42.115578904829256,-44.57264093756314,56.62760153566377,-46.06991311376036,-11.709436249747423,21.99838351182057,-11.133562335825419,-31.788240048494647,-28.56334613053142
60,2024-10-21 12:54,AAPL,-20.51625239005736,15.082217973231357,-32.382409177820264,-187.4187380497132,-29.055449330783937,224.23709369024857,99.03250478011472,129.8623326959847,397.68260038240913,-29.609942638623327
61,2024-10-21 12:55,AAPL,-215.34988713318285,131.1512415349887,-833.6343115124154,761.0609480812642,-680.6997742663657,187.81038374717835,588.6004514672686,-168.17155756207677,91.64785553047405,-134.19864559819413
62,2024-10-21 12:56,AAPL,20.514482479238403,93.82215920599555,-421.95665383836337,405.62284788332994,-465.7079197893458,278.8414016609277,57.94612112618999,125.71197083248937,122.89244480453718,-104.41968806967795
63,2024-10-21 12:57,AAPL,0.940353604041189,0.598406838935302,-34.49387993005634,43.51272585972411,17.738488439867883,20.816009325820865,124.81056926364872,17.011851564017874,19.790169030503204,6.454245191373615
64,2024-10-21 12:58,AAPL,-0.639355908122188,99.95264030310206,-307.9564290788539,-54.98460809850817,-865.0485436893205,576.6990291262136,-472.0577788302155,639.7821453942695,41.34501539190149,161.3308074828321
65,2024-10-21 12:59,AAPL,-2.424479166666667,9.104166666666668,-38.0,26.768229166666668,-137.0078125,74.16927083333334,-5.393229166666667,-37.208333333333336,-5.986979166666667,68.97395833333334
66,2024-10-21 13:00,AAPL,-218.54757929883135,172.53756260434054,-31.03505843071786,-563.8397328881468,519.7829716193655,-392.38731218697825,512.1869782971619,199.88313856427376,-234.1736227045075,136.5108514190317
67,2024-10-21 13:01,AAPL,-311.6484819734345,-585.8325426944972,-1244.3738140417456,556.6935483870967,-42.73719165085389,-4.162713472485769,226.17409867172674,226.17409867172674,-258.9207779886148,450.96062618595823
68,2024-10-21 13:02,AAPL,-7134.75625823452,-5121.273605621433,-5333.219148001757,-555.5204216073782,-529.8638559508125,-1472.4637681159422,-1659.868247694335,-1888.5463328941591,3522.7580149319283,-2318.014931927976
69,2024-10-21 13:03,AAPL,7.6054537707711996,-613.5066041755434,710.34938219003,696.1525351512571,533.3958244567534,647.4776310183214,1101.7767362590544,-388.89220281210066,71.99829569663402,1029.7784405624204
70,2024-10-21 13:04,AAPL,0.3980891719745223,-100.61703821656052,-46.57643312101911,13.435509554140127,-60.70859872611465,-50.55732484076433,12.340764331210192,-98.02945859872611,-55.035828025477706,-15.425955414012739
